PostID,ForumMessage,TopicLabel
57270,Don’t fall behind the clan schedule,Addiction_Culture
50860,Don’t fall behind the clan schedule,Burnout_Symptoms
55390,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
55191,Why is everyone pushing no-sleep raids?,Community_Peer_Pressure
55734,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
56265,This 48-hour marathon is insane but worth it,FOMO_Driven_Play
50466,Anyone else skipping sleep to finish challenges?,FOMO_Driven_Play
54426,I'm grinding all night for the event,Community_Peer_Pressure
55578,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
58322,Community challenge forcing me to stay online,No_Sleep_Challenges
51685,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
50769,I'm grinding all night for the event,No_Sleep_Challenges
56949,I can’t miss this meta-update grind,Addiction_Culture
52433,Community challenge forcing me to stay online,No_Sleep_Challenges
55311,Community challenge forcing me to stay online,Addiction_Culture
55051,Anyone else skipping sleep to finish challenges?,Addiction_Culture
56420,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
51184,I can’t miss this meta-update grind,Community_Peer_Pressure
54555,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
53385,Anyone else skipping sleep to finish challenges?,FOMO_Driven_Play
56396,Why is everyone pushing no-sleep raids?,Addiction_Culture
58666,Anyone else skipping sleep to finish challenges?,Addiction_Culture
59274,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
52558,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
57849,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
52047,Anyone else skipping sleep to finish challenges?,Addiction_Culture
52747,I feel burnt out but the reward is too good,FOMO_Driven_Play
59167,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
59998,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
50189,I'm grinding all night for the event,Community_Peer_Pressure
52734,This season pass is making me play nonstop,No_Sleep_Challenges
53005,I can’t miss this meta-update grind,No_Sleep_Challenges
54658,Don’t fall behind the clan schedule,Addiction_Culture
51899,This 48-hour marathon is insane but worth it,Community_Peer_Pressure
57734,I'm grinding all night for the event,Community_Peer_Pressure
51267,Community challenge forcing me to stay online,FOMO_Driven_Play
51528,I feel burnt out but the reward is too good,FOMO_Driven_Play
53556,Don’t fall behind the clan schedule,Addiction_Culture
53890,This season pass is making me play nonstop,Addiction_Culture
58838,I'm grinding all night for the event,Burnout_Symptoms
55393,Don’t fall behind the clan schedule,FOMO_Driven_Play
58792,I'm grinding all night for the event,No_Sleep_Challenges
58433,I feel burnt out but the reward is too good,Community_Peer_Pressure
57513,This season pass is making me play nonstop,Addiction_Culture
52612,Community challenge forcing me to stay online,Community_Peer_Pressure
57041,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
59555,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
56235,Community challenge forcing me to stay online,FOMO_Driven_Play
55486,Anyone else skipping sleep to finish challenges?,Addiction_Culture
57099,This 48-hour marathon is insane but worth it,Community_Peer_Pressure
59670,We need to keep playing to stay on leaderboard,Addiction_Culture
50775,I can’t miss this meta-update grind,No_Sleep_Challenges
58226,I can’t miss this meta-update grind,Burnout_Symptoms
53152,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
51585,This season pass is making me play nonstop,Addiction_Culture
53943,I feel burnt out but the reward is too good,Addiction_Culture
57555,This season pass is making me play nonstop,FOMO_Driven_Play
53073,I feel burnt out but the reward is too good,Community_Peer_Pressure
51021,This season pass is making me play nonstop,Community_Peer_Pressure
53843,We need to keep playing to stay on leaderboard,No_Sleep_Challenges
57989,This 48-hour marathon is insane but worth it,Burnout_Symptoms
59692,This 48-hour marathon is insane but worth it,Community_Peer_Pressure
56873,Anyone else skipping sleep to finish challenges?,FOMO_Driven_Play
55675,Don’t fall behind the clan schedule,No_Sleep_Challenges
50161,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
54297,This 48-hour marathon is insane but worth it,FOMO_Driven_Play
50995,Community challenge forcing me to stay online,Burnout_Symptoms
57629,Community challenge forcing me to stay online,FOMO_Driven_Play
59467,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
51016,Don’t fall behind the clan schedule,FOMO_Driven_Play
57869,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
56439,Community challenge forcing me to stay online,Addiction_Culture
57892,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
56863,I'm grinding all night for the event,FOMO_Driven_Play
57916,Community challenge forcing me to stay online,FOMO_Driven_Play
58529,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
50878,Don’t fall behind the clan schedule,No_Sleep_Challenges
59268,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
54887,I'm grinding all night for the event,No_Sleep_Challenges
54859,Don’t fall behind the clan schedule,Community_Peer_Pressure
56331,We need to keep playing to stay on leaderboard,FOMO_Driven_Play
58571,Don’t fall behind the clan schedule,FOMO_Driven_Play
58684,We need to keep playing to stay on leaderboard,Addiction_Culture
57208,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
55276,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
52062,This season pass is making me play nonstop,Addiction_Culture
50064,I'm grinding all night for the event,Community_Peer_Pressure
58006,Don’t fall behind the clan schedule,Community_Peer_Pressure
52568,I feel burnt out but the reward is too good,Addiction_Culture
55463,I'm grinding all night for the event,FOMO_Driven_Play
52027,This season pass is making me play nonstop,Community_Peer_Pressure
52695,I'm grinding all night for the event,FOMO_Driven_Play
59687,This 48-hour marathon is insane but worth it,Addiction_Culture
55258,I feel burnt out but the reward is too good,FOMO_Driven_Play
55618,This season pass is making me play nonstop,No_Sleep_Challenges
56736,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
50391,Don’t fall behind the clan schedule,Community_Peer_Pressure
55892,I can’t miss this meta-update grind,Burnout_Symptoms
53561,This season pass is making me play nonstop,FOMO_Driven_Play
56184,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
53099,Don’t fall behind the clan schedule,FOMO_Driven_Play
56278,This season pass is making me play nonstop,No_Sleep_Challenges
58392,This 48-hour marathon is insane but worth it,Addiction_Culture
53104,I can’t miss this meta-update grind,Community_Peer_Pressure
57215,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
52454,I can’t miss this meta-update grind,No_Sleep_Challenges
58996,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
52731,Don’t fall behind the clan schedule,FOMO_Driven_Play
58154,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
59762,This 48-hour marathon is insane but worth it,Burnout_Symptoms
55056,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
58110,We need to keep playing to stay on leaderboard,FOMO_Driven_Play
53840,I can’t miss this meta-update grind,FOMO_Driven_Play
51028,Community challenge forcing me to stay online,Burnout_Symptoms
57385,Don’t fall behind the clan schedule,No_Sleep_Challenges
50502,I can’t miss this meta-update grind,FOMO_Driven_Play
56910,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
59062,I'm grinding all night for the event,Addiction_Culture
56938,I can’t miss this meta-update grind,Addiction_Culture
54488,Why is everyone pushing no-sleep raids?,Addiction_Culture
50206,Don’t fall behind the clan schedule,No_Sleep_Challenges
55134,We need to keep playing to stay on leaderboard,Burnout_Symptoms
55977,I'm grinding all night for the event,FOMO_Driven_Play
57721,I feel burnt out but the reward is too good,Community_Peer_Pressure
57035,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
51484,I feel burnt out but the reward is too good,No_Sleep_Challenges
57858,Don’t fall behind the clan schedule,Addiction_Culture
50863,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
52790,We need to keep playing to stay on leaderboard,Burnout_Symptoms
57408,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
58755,I feel burnt out but the reward is too good,FOMO_Driven_Play
55116,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
56019,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
51757,This season pass is making me play nonstop,Burnout_Symptoms
57574,This season pass is making me play nonstop,Burnout_Symptoms
56374,I'm grinding all night for the event,No_Sleep_Challenges
56892,This 48-hour marathon is insane but worth it,Burnout_Symptoms
51678,Don’t fall behind the clan schedule,Community_Peer_Pressure
53242,We need to keep playing to stay on leaderboard,Addiction_Culture
54636,Community challenge forcing me to stay online,Burnout_Symptoms
51059,Why is everyone pushing no-sleep raids?,Addiction_Culture
56668,I feel burnt out but the reward is too good,No_Sleep_Challenges
59914,Don’t fall behind the clan schedule,Addiction_Culture
53157,Anyone else skipping sleep to finish challenges?,No_Sleep_Challenges
55915,This season pass is making me play nonstop,Community_Peer_Pressure
59789,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
52693,Community challenge forcing me to stay online,No_Sleep_Challenges
53627,We need to keep playing to stay on leaderboard,FOMO_Driven_Play
59555,I'm grinding all night for the event,Burnout_Symptoms
55450,Community challenge forcing me to stay online,Burnout_Symptoms
51663,Why is everyone pushing no-sleep raids?,Community_Peer_Pressure
59721,Community challenge forcing me to stay online,Community_Peer_Pressure
55592,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
57392,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
51306,I can’t miss this meta-update grind,Burnout_Symptoms
56776,I feel burnt out but the reward is too good,FOMO_Driven_Play
55864,This season pass is making me play nonstop,Community_Peer_Pressure
59474,I can’t miss this meta-update grind,Addiction_Culture
57526,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
58901,I can’t miss this meta-update grind,Community_Peer_Pressure
55575,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
55530,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
54413,This season pass is making me play nonstop,No_Sleep_Challenges
53748,Community challenge forcing me to stay online,No_Sleep_Challenges
50663,I feel burnt out but the reward is too good,FOMO_Driven_Play
51998,This season pass is making me play nonstop,Burnout_Symptoms
57994,Why is everyone pushing no-sleep raids?,Addiction_Culture
51495,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
53304,I feel burnt out but the reward is too good,FOMO_Driven_Play
53763,I feel burnt out but the reward is too good,Addiction_Culture
55232,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
51853,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
56585,I'm grinding all night for the event,Community_Peer_Pressure
51291,This season pass is making me play nonstop,Burnout_Symptoms
53581,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
57554,This 48-hour marathon is insane but worth it,Burnout_Symptoms
57280,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
51636,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
53696,This season pass is making me play nonstop,Community_Peer_Pressure
50698,Don’t fall behind the clan schedule,Addiction_Culture
54737,This 48-hour marathon is insane but worth it,Burnout_Symptoms
50854,Community challenge forcing me to stay online,Burnout_Symptoms
58164,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
55855,Don’t fall behind the clan schedule,FOMO_Driven_Play
57392,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
56528,I feel burnt out but the reward is too good,Community_Peer_Pressure
55249,This 48-hour marathon is insane but worth it,Burnout_Symptoms
55172,I feel burnt out but the reward is too good,Community_Peer_Pressure
51707,I'm grinding all night for the event,Addiction_Culture
55791,I feel burnt out but the reward is too good,FOMO_Driven_Play
59925,I'm grinding all night for the event,Community_Peer_Pressure
55535,I'm grinding all night for the event,Community_Peer_Pressure
54931,Don’t fall behind the clan schedule,Addiction_Culture
53510,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
50202,Community challenge forcing me to stay online,Burnout_Symptoms
54218,I feel burnt out but the reward is too good,No_Sleep_Challenges
58958,This 48-hour marathon is insane but worth it,FOMO_Driven_Play
54389,I'm grinding all night for the event,Community_Peer_Pressure
52327,Why is everyone pushing no-sleep raids?,Addiction_Culture
58004,Anyone else skipping sleep to finish challenges?,Addiction_Culture
52931,This season pass is making me play nonstop,Burnout_Symptoms
57777,Don’t fall behind the clan schedule,No_Sleep_Challenges
50197,Community challenge forcing me to stay online,Burnout_Symptoms
57125,I can’t miss this meta-update grind,Community_Peer_Pressure
51930,Don’t fall behind the clan schedule,Burnout_Symptoms
56287,Anyone else skipping sleep to finish challenges?,Addiction_Culture
58800,This season pass is making me play nonstop,Addiction_Culture
59339,Anyone else skipping sleep to finish challenges?,FOMO_Driven_Play
54282,I feel burnt out but the reward is too good,FOMO_Driven_Play
52511,I'm grinding all night for the event,Community_Peer_Pressure
59986,Community challenge forcing me to stay online,No_Sleep_Challenges
50659,We need to keep playing to stay on leaderboard,Burnout_Symptoms
52811,I'm grinding all night for the event,Community_Peer_Pressure
57098,We need to keep playing to stay on leaderboard,FOMO_Driven_Play
56546,This season pass is making me play nonstop,Burnout_Symptoms
59561,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
51986,I can’t miss this meta-update grind,Burnout_Symptoms
58338,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
52911,I'm grinding all night for the event,Community_Peer_Pressure
51734,Community challenge forcing me to stay online,Burnout_Symptoms
51843,Anyone else skipping sleep to finish challenges?,Addiction_Culture
58680,Community challenge forcing me to stay online,Addiction_Culture
52976,This season pass is making me play nonstop,Burnout_Symptoms
51959,We need to keep playing to stay on leaderboard,Burnout_Symptoms
55759,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
56694,This 48-hour marathon is insane but worth it,Addiction_Culture
52385,This 48-hour marathon is insane but worth it,Addiction_Culture
54736,I'm grinding all night for the event,Burnout_Symptoms
51802,This season pass is making me play nonstop,FOMO_Driven_Play
58155,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
58120,This season pass is making me play nonstop,No_Sleep_Challenges
56616,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
55534,Community challenge forcing me to stay online,FOMO_Driven_Play
54061,This 48-hour marathon is insane but worth it,Addiction_Culture
50262,Community challenge forcing me to stay online,FOMO_Driven_Play
56287,Community challenge forcing me to stay online,No_Sleep_Challenges
58815,Community challenge forcing me to stay online,No_Sleep_Challenges
59208,This 48-hour marathon is insane but worth it,Community_Peer_Pressure
52049,Don’t fall behind the clan schedule,FOMO_Driven_Play
55423,I feel burnt out but the reward is too good,Addiction_Culture
54548,We need to keep playing to stay on leaderboard,Addiction_Culture
53108,Don’t fall behind the clan schedule,Burnout_Symptoms
57158,We need to keep playing to stay on leaderboard,Addiction_Culture
57400,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
53170,This season pass is making me play nonstop,Community_Peer_Pressure
59874,This season pass is making me play nonstop,Addiction_Culture
52255,I can’t miss this meta-update grind,Addiction_Culture
51154,This season pass is making me play nonstop,Burnout_Symptoms
54499,This 48-hour marathon is insane but worth it,Addiction_Culture
56295,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
56197,I'm grinding all night for the event,Burnout_Symptoms
59888,I can’t miss this meta-update grind,Addiction_Culture
51648,I'm grinding all night for the event,No_Sleep_Challenges
55539,We need to keep playing to stay on leaderboard,No_Sleep_Challenges
59637,I'm grinding all night for the event,Burnout_Symptoms
54199,I'm grinding all night for the event,Addiction_Culture
58445,I can’t miss this meta-update grind,No_Sleep_Challenges
52557,Anyone else skipping sleep to finish challenges?,Addiction_Culture
55592,Community challenge forcing me to stay online,Addiction_Culture
50098,This season pass is making me play nonstop,Addiction_Culture
52200,This season pass is making me play nonstop,FOMO_Driven_Play
52961,This 48-hour marathon is insane but worth it,Addiction_Culture
54973,I can’t miss this meta-update grind,FOMO_Driven_Play
54433,This 48-hour marathon is insane but worth it,Burnout_Symptoms
52869,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
50956,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
58352,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
55699,I can’t miss this meta-update grind,No_Sleep_Challenges
56944,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
54493,This season pass is making me play nonstop,No_Sleep_Challenges
59492,Don’t fall behind the clan schedule,No_Sleep_Challenges
54911,I feel burnt out but the reward is too good,Burnout_Symptoms
53987,I'm grinding all night for the event,Addiction_Culture
59719,I feel burnt out but the reward is too good,Community_Peer_Pressure
56015,I can’t miss this meta-update grind,FOMO_Driven_Play
51218,I feel burnt out but the reward is too good,Community_Peer_Pressure
54496,Why is everyone pushing no-sleep raids?,Community_Peer_Pressure
54735,We need to keep playing to stay on leaderboard,Addiction_Culture
54555,I'm grinding all night for the event,Addiction_Culture
59146,Community challenge forcing me to stay online,Addiction_Culture
58050,I can’t miss this meta-update grind,No_Sleep_Challenges
53446,I'm grinding all night for the event,Burnout_Symptoms
51045,I feel burnt out but the reward is too good,No_Sleep_Challenges
56893,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
51693,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
53436,Don’t fall behind the clan schedule,Community_Peer_Pressure
58754,Community challenge forcing me to stay online,Community_Peer_Pressure
55895,Don’t fall behind the clan schedule,Burnout_Symptoms
53354,I'm grinding all night for the event,Burnout_Symptoms
50225,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
54893,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
57022,I feel burnt out but the reward is too good,Community_Peer_Pressure
59151,This season pass is making me play nonstop,Addiction_Culture
55600,I feel burnt out but the reward is too good,Burnout_Symptoms
57996,This season pass is making me play nonstop,No_Sleep_Challenges
59007,This season pass is making me play nonstop,Community_Peer_Pressure
57683,Community challenge forcing me to stay online,No_Sleep_Challenges
54642,I feel burnt out but the reward is too good,Burnout_Symptoms
57679,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
58208,This 48-hour marathon is insane but worth it,FOMO_Driven_Play
57339,This 48-hour marathon is insane but worth it,Addiction_Culture
59435,I feel burnt out but the reward is too good,FOMO_Driven_Play
52205,I feel burnt out but the reward is too good,Community_Peer_Pressure
51069,Don’t fall behind the clan schedule,No_Sleep_Challenges
53444,Community challenge forcing me to stay online,Community_Peer_Pressure
51060,I feel burnt out but the reward is too good,Burnout_Symptoms
52327,Don’t fall behind the clan schedule,FOMO_Driven_Play
53420,This season pass is making me play nonstop,FOMO_Driven_Play
50301,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
50606,Why is everyone pushing no-sleep raids?,Community_Peer_Pressure
53170,This season pass is making me play nonstop,Burnout_Symptoms
50699,I can’t miss this meta-update grind,No_Sleep_Challenges
55088,Don’t fall behind the clan schedule,No_Sleep_Challenges
59331,Don’t fall behind the clan schedule,Community_Peer_Pressure
50190,This season pass is making me play nonstop,FOMO_Driven_Play
50980,Anyone else skipping sleep to finish challenges?,Addiction_Culture
52975,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
56102,I'm grinding all night for the event,Community_Peer_Pressure
51184,This season pass is making me play nonstop,Burnout_Symptoms
53327,I feel burnt out but the reward is too good,No_Sleep_Challenges
53394,I feel burnt out but the reward is too good,Community_Peer_Pressure
58319,Community challenge forcing me to stay online,Community_Peer_Pressure
51816,This season pass is making me play nonstop,FOMO_Driven_Play
55854,Community challenge forcing me to stay online,FOMO_Driven_Play
56709,This season pass is making me play nonstop,Addiction_Culture
50569,Don’t fall behind the clan schedule,Burnout_Symptoms
55442,I'm grinding all night for the event,Addiction_Culture
51895,Don’t fall behind the clan schedule,FOMO_Driven_Play
52733,We need to keep playing to stay on leaderboard,No_Sleep_Challenges
53863,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
57455,This 48-hour marathon is insane but worth it,Burnout_Symptoms
54014,This season pass is making me play nonstop,FOMO_Driven_Play
51686,We need to keep playing to stay on leaderboard,Burnout_Symptoms
53009,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
57806,I can’t miss this meta-update grind,Burnout_Symptoms
50154,I'm grinding all night for the event,Burnout_Symptoms
51409,Community challenge forcing me to stay online,Burnout_Symptoms
50784,Community challenge forcing me to stay online,No_Sleep_Challenges
58096,Don’t fall behind the clan schedule,Addiction_Culture
57560,I feel burnt out but the reward is too good,Community_Peer_Pressure
57343,Why is everyone pushing no-sleep raids?,Addiction_Culture
57206,I can’t miss this meta-update grind,Burnout_Symptoms
55596,We need to keep playing to stay on leaderboard,No_Sleep_Challenges
55801,I'm grinding all night for the event,FOMO_Driven_Play
52806,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
50537,I can’t miss this meta-update grind,Burnout_Symptoms
55986,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
51841,This season pass is making me play nonstop,No_Sleep_Challenges
58716,Community challenge forcing me to stay online,Burnout_Symptoms
