TicketID,SupportMessage,SupportLabel
83719,Can you add break reminders?,Burnout_Complaint
87123,I need help controlling my playtime,Grind_Exhaustion
81679,"Please reduce the grind, it's exhausting",Addiction_Concern
80236,I feel anxious missing events,FOMO_Stress
87446,I feel overwhelmed by the time-limited events,FOMO_Stress
84443,I think I'm playing too much because of the ranking,FOMO_Stress
86770,"Please reduce the grind, it's exhausting",Addiction_Concern
89732,The pressure to finish quests is too high,Break_Reminder_Request
86099,The daily missions force me to log in too much,Break_Reminder_Request
88555,The daily missions force me to log in too much,Grind_Exhaustion
82368,"Please reduce the grind, it's exhausting",Break_Reminder_Request
80285,I need help controlling my playtime,Break_Reminder_Request
80148,I think I'm playing too much because of the ranking,FOMO_Stress
84037,I'm getting headaches but still playing for rewards,FOMO_Stress
86549,I'm getting headaches but still playing for rewards,Grind_Exhaustion
87121,The pressure to finish quests is too high,Burnout_Complaint
89958,I need help controlling my playtime,Grind_Exhaustion
84895,This game is becoming stressful instead of fun,Grind_Exhaustion
85280,This game is becoming stressful instead of fun,Addiction_Concern
81012,I feel overwhelmed by the time-limited events,Addiction_Concern
89715,I think I'm playing too much because of the ranking,Grind_Exhaustion
82785,I think I'm playing too much because of the ranking,Grind_Exhaustion
83725,The daily missions force me to log in too much,Grind_Exhaustion
84576,Can you add break reminders?,Break_Reminder_Request
85782,The pressure to finish quests is too high,Addiction_Concern
86257,I'm getting headaches but still playing for rewards,Grind_Exhaustion
89793,The pressure to finish quests is too high,FOMO_Stress
82408,This game is becoming stressful instead of fun,FOMO_Stress
80340,This game is becoming stressful instead of fun,Break_Reminder_Request
82817,"Please reduce the grind, it's exhausting",Break_Reminder_Request
82496,I feel overwhelmed by the time-limited events,Burnout_Complaint
85962,I think I'm playing too much because of the ranking,Burnout_Complaint
85299,I feel anxious missing events,Burnout_Complaint
89917,The pressure to finish quests is too high,Break_Reminder_Request
87574,This game is becoming stressful instead of fun,Break_Reminder_Request
81689,Can you add break reminders?,Break_Reminder_Request
83267,The daily missions force me to log in too much,FOMO_Stress
84406,I'm getting headaches but still playing for rewards,Break_Reminder_Request
88453,I feel overwhelmed by the time-limited events,FOMO_Stress
81442,Can you add break reminders?,Burnout_Complaint
88597,I feel overwhelmed by the time-limited events,Burnout_Complaint
84437,"Please reduce the grind, it's exhausting",Burnout_Complaint
85435,I feel anxious missing events,Grind_Exhaustion
88435,This game is becoming stressful instead of fun,Grind_Exhaustion
84107,The daily missions force me to log in too much,Addiction_Concern
80560,Can you add break reminders?,Addiction_Concern
88785,I feel overwhelmed by the time-limited events,Addiction_Concern
85548,I think I'm playing too much because of the ranking,Grind_Exhaustion
81826,"Please reduce the grind, it's exhausting",Grind_Exhaustion
87629,I think I'm playing too much because of the ranking,Addiction_Concern
88325,The daily missions force me to log in too much,Addiction_Concern
83138,Can you add break reminders?,Break_Reminder_Request
87693,"Please reduce the grind, it's exhausting",Addiction_Concern
88264,Can you add break reminders?,Break_Reminder_Request
87842,This game is becoming stressful instead of fun,FOMO_Stress
86721,I need help controlling my playtime,Grind_Exhaustion
87002,"Please reduce the grind, it's exhausting",Addiction_Concern
84225,I think I'm playing too much because of the ranking,Grind_Exhaustion
82978,The daily missions force me to log in too much,Grind_Exhaustion
87373,I feel anxious missing events,Grind_Exhaustion
85907,This game is becoming stressful instead of fun,FOMO_Stress
86097,I need help controlling my playtime,Burnout_Complaint
85656,I feel anxious missing events,Addiction_Concern
88984,I'm getting headaches but still playing for rewards,Burnout_Complaint
84259,This game is becoming stressful instead of fun,Burnout_Complaint
88286,The daily missions force me to log in too much,Burnout_Complaint
85901,I feel overwhelmed by the time-limited events,Grind_Exhaustion
89325,"Please reduce the grind, it's exhausting",Break_Reminder_Request
84917,Can you add break reminders?,Grind_Exhaustion
88429,The daily missions force me to log in too much,Grind_Exhaustion
82530,"Please reduce the grind, it's exhausting",Burnout_Complaint
81960,I feel anxious missing events,Grind_Exhaustion
87045,Can you add break reminders?,Burnout_Complaint
81048,The pressure to finish quests is too high,Break_Reminder_Request
85772,I think I'm playing too much because of the ranking,Addiction_Concern
82529,I'm getting headaches but still playing for rewards,Burnout_Complaint
82964,This game is becoming stressful instead of fun,Break_Reminder_Request
87137,The daily missions force me to log in too much,Addiction_Concern
80963,I'm getting headaches but still playing for rewards,FOMO_Stress
80536,I feel overwhelmed by the time-limited events,Burnout_Complaint
87340,"Please reduce the grind, it's exhausting",Burnout_Complaint
87179,"Please reduce the grind, it's exhausting",FOMO_Stress
87967,The daily missions force me to log in too much,FOMO_Stress
88734,I need help controlling my playtime,Burnout_Complaint
80845,I need help controlling my playtime,FOMO_Stress
85777,The pressure to finish quests is too high,Grind_Exhaustion
83036,I think I'm playing too much because of the ranking,Addiction_Concern
85947,Can you add break reminders?,Addiction_Concern
82494,I feel overwhelmed by the time-limited events,Addiction_Concern
82719,I'm getting headaches but still playing for rewards,Grind_Exhaustion
81884,I need help controlling my playtime,FOMO_Stress
84349,The pressure to finish quests is too high,Break_Reminder_Request
85179,The pressure to finish quests is too high,FOMO_Stress
86610,The daily missions force me to log in too much,Burnout_Complaint
86430,I feel overwhelmed by the time-limited events,Addiction_Concern
87154,I feel anxious missing events,FOMO_Stress
86488,Can you add break reminders?,Break_Reminder_Request
84737,I think I'm playing too much because of the ranking,Burnout_Complaint
86525,This game is becoming stressful instead of fun,Grind_Exhaustion
83850,The daily missions force me to log in too much,Grind_Exhaustion
80689,Can you add break reminders?,Break_Reminder_Request
85175,This game is becoming stressful instead of fun,Burnout_Complaint
88648,This game is becoming stressful instead of fun,Addiction_Concern
85078,I feel overwhelmed by the time-limited events,FOMO_Stress
85448,I feel overwhelmed by the time-limited events,Burnout_Complaint
81179,I'm getting headaches but still playing for rewards,Grind_Exhaustion
89074,The pressure to finish quests is too high,Break_Reminder_Request
86406,Can you add break reminders?,Break_Reminder_Request
88591,The daily missions force me to log in too much,FOMO_Stress
86907,"Please reduce the grind, it's exhausting",Break_Reminder_Request
88800,The daily missions force me to log in too much,Break_Reminder_Request
81638,I'm getting headaches but still playing for rewards,Burnout_Complaint
85671,I think I'm playing too much because of the ranking,Addiction_Concern
86928,The pressure to finish quests is too high,FOMO_Stress
81382,"Please reduce the grind, it's exhausting",Burnout_Complaint
81403,I need help controlling my playtime,Addiction_Concern
89011,I think I'm playing too much because of the ranking,Burnout_Complaint
83292,I feel overwhelmed by the time-limited events,Burnout_Complaint
89011,This game is becoming stressful instead of fun,Break_Reminder_Request
80419,I need help controlling my playtime,Addiction_Concern
84517,The daily missions force me to log in too much,FOMO_Stress
83302,The daily missions force me to log in too much,FOMO_Stress
87857,I feel overwhelmed by the time-limited events,Addiction_Concern
89700,I'm getting headaches but still playing for rewards,Break_Reminder_Request
87870,Can you add break reminders?,Grind_Exhaustion
85693,I need help controlling my playtime,Burnout_Complaint
80767,I need help controlling my playtime,Break_Reminder_Request
82044,I feel anxious missing events,Addiction_Concern
81549,I think I'm playing too much because of the ranking,Burnout_Complaint
89956,The pressure to finish quests is too high,FOMO_Stress
86140,I think I'm playing too much because of the ranking,Grind_Exhaustion
83716,Can you add break reminders?,FOMO_Stress
84481,The daily missions force me to log in too much,Addiction_Concern
87898,The daily missions force me to log in too much,Burnout_Complaint
86548,The daily missions force me to log in too much,Addiction_Concern
82293,I feel anxious missing events,Burnout_Complaint
84837,The daily missions force me to log in too much,Break_Reminder_Request
87758,Can you add break reminders?,Grind_Exhaustion
86793,I feel overwhelmed by the time-limited events,Break_Reminder_Request
87638,The pressure to finish quests is too high,Break_Reminder_Request
87993,Can you add break reminders?,Addiction_Concern
86007,The pressure to finish quests is too high,Grind_Exhaustion
85542,Can you add break reminders?,Burnout_Complaint
89092,The daily missions force me to log in too much,Burnout_Complaint
86356,I feel overwhelmed by the time-limited events,FOMO_Stress
88433,I need help controlling my playtime,Burnout_Complaint
87380,I think I'm playing too much because of the ranking,Addiction_Concern
82385,This game is becoming stressful instead of fun,Break_Reminder_Request
84268,I feel overwhelmed by the time-limited events,Break_Reminder_Request
80671,I need help controlling my playtime,Break_Reminder_Request
80163,I'm getting headaches but still playing for rewards,Grind_Exhaustion
88656,Can you add break reminders?,Burnout_Complaint
84592,I'm getting headaches but still playing for rewards,Addiction_Concern
84795,I need help controlling my playtime,Grind_Exhaustion
84798,I feel overwhelmed by the time-limited events,FOMO_Stress
86036,Can you add break reminders?,Addiction_Concern
82355,This game is becoming stressful instead of fun,Addiction_Concern
85887,The daily missions force me to log in too much,Addiction_Concern
87961,Can you add break reminders?,Break_Reminder_Request
85827,Can you add break reminders?,Addiction_Concern
88737,I feel overwhelmed by the time-limited events,Burnout_Complaint
84719,I feel overwhelmed by the time-limited events,Addiction_Concern
80593,I need help controlling my playtime,Break_Reminder_Request
84839,"Please reduce the grind, it's exhausting",Addiction_Concern
87394,Can you add break reminders?,FOMO_Stress
89651,I think I'm playing too much because of the ranking,FOMO_Stress
83493,Can you add break reminders?,Break_Reminder_Request
86164,I need help controlling my playtime,Burnout_Complaint
82672,The pressure to finish quests is too high,Burnout_Complaint
84200,I'm getting headaches but still playing for rewards,Grind_Exhaustion
80016,The daily missions force me to log in too much,Break_Reminder_Request
83191,"Please reduce the grind, it's exhausting",Addiction_Concern
80392,This game is becoming stressful instead of fun,Break_Reminder_Request
88616,This game is becoming stressful instead of fun,Grind_Exhaustion
86272,This game is becoming stressful instead of fun,Break_Reminder_Request
80571,I feel overwhelmed by the time-limited events,Break_Reminder_Request
83631,This game is becoming stressful instead of fun,Grind_Exhaustion
86172,The daily missions force me to log in too much,Burnout_Complaint
89312,I'm getting headaches but still playing for rewards,Addiction_Concern
87177,This game is becoming stressful instead of fun,Grind_Exhaustion
88433,Can you add break reminders?,FOMO_Stress
83897,Can you add break reminders?,Burnout_Complaint
88123,I feel overwhelmed by the time-limited events,FOMO_Stress
82279,The daily missions force me to log in too much,Burnout_Complaint
88980,I'm getting headaches but still playing for rewards,Addiction_Concern
87451,"Please reduce the grind, it's exhausting",Addiction_Concern
88906,I need help controlling my playtime,Break_Reminder_Request
80775,I'm getting headaches but still playing for rewards,FOMO_Stress
86869,I need help controlling my playtime,Burnout_Complaint
82247,The pressure to finish quests is too high,Addiction_Concern
87088,I need help controlling my playtime,Grind_Exhaustion
80078,I think I'm playing too much because of the ranking,Addiction_Concern
88080,Can you add break reminders?,Grind_Exhaustion
87099,The daily missions force me to log in too much,Burnout_Complaint
83926,I feel anxious missing events,Addiction_Concern
89047,I feel overwhelmed by the time-limited events,Addiction_Concern
87340,I think I'm playing too much because of the ranking,Burnout_Complaint
87083,I need help controlling my playtime,Addiction_Concern
86230,This game is becoming stressful instead of fun,Grind_Exhaustion
89223,The daily missions force me to log in too much,Addiction_Concern
84940,I think I'm playing too much because of the ranking,FOMO_Stress
83271,I feel overwhelmed by the time-limited events,Break_Reminder_Request
83456,Can you add break reminders?,Grind_Exhaustion
87788,The daily missions force me to log in too much,FOMO_Stress
88599,I feel overwhelmed by the time-limited events,Burnout_Complaint
87650,The pressure to finish quests is too high,Grind_Exhaustion
82711,The pressure to finish quests is too high,Break_Reminder_Request
81668,I feel overwhelmed by the time-limited events,Break_Reminder_Request
80147,I think I'm playing too much because of the ranking,Burnout_Complaint
86420,The daily missions force me to log in too much,Burnout_Complaint
80365,I think I'm playing too much because of the ranking,Grind_Exhaustion
89866,"Please reduce the grind, it's exhausting",Addiction_Concern
84531,I need help controlling my playtime,Burnout_Complaint
85330,"Please reduce the grind, it's exhausting",Addiction_Concern
85510,The pressure to finish quests is too high,FOMO_Stress
88754,Can you add break reminders?,Break_Reminder_Request
88964,I'm getting headaches but still playing for rewards,Addiction_Concern
86493,I need help controlling my playtime,Break_Reminder_Request
85439,The pressure to finish quests is too high,Addiction_Concern
89765,I think I'm playing too much because of the ranking,FOMO_Stress
86511,I think I'm playing too much because of the ranking,Burnout_Complaint
87504,I think I'm playing too much because of the ranking,FOMO_Stress
81246,Can you add break reminders?,Burnout_Complaint
83839,"Please reduce the grind, it's exhausting",Burnout_Complaint
88551,I'm getting headaches but still playing for rewards,Break_Reminder_Request
82376,I think I'm playing too much because of the ranking,FOMO_Stress
83009,I feel anxious missing events,Addiction_Concern
89154,I need help controlling my playtime,FOMO_Stress
81827,The daily missions force me to log in too much,Break_Reminder_Request
86979,I feel anxious missing events,Burnout_Complaint
89805,I'm getting headaches but still playing for rewards,Break_Reminder_Request
89832,Can you add break reminders?,Grind_Exhaustion
88569,I'm getting headaches but still playing for rewards,Grind_Exhaustion
84285,The daily missions force me to log in too much,Addiction_Concern
86910,I need help controlling my playtime,Break_Reminder_Request
88561,The daily missions force me to log in too much,Addiction_Concern
82196,I feel overwhelmed by the time-limited events,Addiction_Concern
83747,I need help controlling my playtime,Grind_Exhaustion
88843,I'm getting headaches but still playing for rewards,Addiction_Concern
85978,I think I'm playing too much because of the ranking,Grind_Exhaustion
85607,I'm getting headaches but still playing for rewards,Burnout_Complaint
80769,I'm getting headaches but still playing for rewards,Break_Reminder_Request
80780,I need help controlling my playtime,Addiction_Concern
89908,I feel overwhelmed by the time-limited events,Grind_Exhaustion
86303,I'm getting headaches but still playing for rewards,FOMO_Stress
83983,I feel anxious missing events,Addiction_Concern
89503,The pressure to finish quests is too high,Burnout_Complaint
88714,This game is becoming stressful instead of fun,Burnout_Complaint
80521,This game is becoming stressful instead of fun,FOMO_Stress
89127,I'm getting headaches but still playing for rewards,Grind_Exhaustion
87569,I feel anxious missing events,Addiction_Concern
85784,I think I'm playing too much because of the ranking,Grind_Exhaustion
84583,Can you add break reminders?,Burnout_Complaint
85946,Can you add break reminders?,Grind_Exhaustion
84941,I need help controlling my playtime,Burnout_Complaint
86267,This game is becoming stressful instead of fun,Grind_Exhaustion
87128,I'm getting headaches but still playing for rewards,FOMO_Stress
82461,Can you add break reminders?,Break_Reminder_Request
80685,I'm getting headaches but still playing for rewards,FOMO_Stress
82160,I need help controlling my playtime,FOMO_Stress
87031,This game is becoming stressful instead of fun,Break_Reminder_Request
89759,The daily missions force me to log in too much,Break_Reminder_Request
85341,The pressure to finish quests is too high,Addiction_Concern
80038,The pressure to finish quests is too high,Addiction_Concern
84875,Can you add break reminders?,FOMO_Stress
81256,The pressure to finish quests is too high,FOMO_Stress
87697,The daily missions force me to log in too much,Burnout_Complaint
82196,I'm getting headaches but still playing for rewards,Burnout_Complaint
87165,I need help controlling my playtime,Addiction_Concern
80301,The daily missions force me to log in too much,Addiction_Concern
87527,I need help controlling my playtime,Burnout_Complaint
86381,I need help controlling my playtime,Burnout_Complaint
80646,This game is becoming stressful instead of fun,Grind_Exhaustion
89951,I'm getting headaches but still playing for rewards,Grind_Exhaustion
88789,I feel anxious missing events,Burnout_Complaint
